Frame,Timestamp
2623,00:08:44.52460 UTC
2624,00:08:44.52480 UTC
2625,00:08:45.52500 UTC
2626,00:08:45.52520 UTC
2627,00:08:45.52540 UTC
2628,00:08:45.52560 UTC
2629,00:08:45.52580 UTC
2630,00:08:46.52600 UTC
2631,00:08:46.52620 UTC
2632,00:08:46.52640 UTC
2633,00:08:46.52660 UTC
2634,00:08:46.52680 UTC
2635,00:08:47.52700 UTC
2636,00:08:47.52720 UTC
2637,00:08:47.52740 UTC
2638,00:08:47.52760 UTC
2639,00:08:47.52780 UTC
2640,00:08:48.52800 UTC
2641,00:08:48.52820 UTC
2642,00:08:48.52840 UTC
2643,00:08:48.52860 UTC
2644,00:08:48.52880 UTC
2645,00:08:49.52900 UTC
2646,00:08:49.52920 UTC
2647,00:08:49.52940 UTC
2648,00:08:49.52960 UTC
2649,00:08:49.52980 UTC
2650,00:08:50.53000 UTC
2651,00:08:50.53020 UTC
2652,00:08:50.53040 UTC
2653,00:08:50.53060 UTC
2654,00:08:50.53080 UTC
2655,00:08:51.53100 UTC
2656,00:08:51.53120 UTC
2657,00:08:51.53140 UTC
2658,00:08:51.53160 UTC
2659,00:08:51.53180 UTC
2660,00:08:52.53200 UTC
2661,00:08:52.53220 UTC
2662,00:08:52.53240 UTC
2663,00:08:52.53260 UTC
2664,00:08:52.53280 UTC
2665,00:08:53.53300 UTC
2666,00:08:53.53320 UTC
2667,00:08:53.53340 UTC
2668,00:08:53.53360 UTC
2669,00:08:53.53380 UTC
2670,00:08:54.53400 UTC
2671,00:08:54.53420 UTC
2672,00:08:54.53440 UTC
2673,00:08:54.53460 UTC
2674,00:08:54.53480 UTC
2675,00:08:55.53500 UTC
2676,00:08:55.53520 UTC
2677,00:08:55.53540 UTC
2678,00:08:55.53560 UTC
2679,00:08:55.53580 UTC
2680,00:08:56.53600 UTC
2681,00:08:56.53620 UTC
2682,00:08:56.53640 UTC
2683,00:08:56.53660 UTC
2684,00:08:56.53680 UTC
2685,00:08:57.53700 UTC
2686,00:08:57.53720 UTC
2687,00:08:57.53740 UTC
2688,00:08:57.53760 UTC
2689,00:08:57.53780 UTC
2690,00:08:58.53800 UTC
2691,00:08:58.53820 UTC
2692,00:08:58.53840 UTC
2693,00:08:58.53860 UTC
2694,00:08:58.53880 UTC
2695,00:08:59.53900 UTC
2696,00:08:59.53920 UTC
2697,00:08:59.53940 UTC
2698,00:08:59.53960 UTC
2699,00:08:59.53980 UTC
2700,00:09:00.54000 UTC
2701,00:09:00.54020 UTC
2702,00:09:00.54040 UTC
2703,00:09:00.54060 UTC
2704,00:09:00.54080 UTC
2705,00:09:01.54100 UTC
2706,00:09:01.54120 UTC
2707,00:09:01.54140 UTC
2708,00:09:01.54160 UTC
2709,00:09:01.54180 UTC
2710,00:09:02.54200 UTC
2711,00:09:02.54220 UTC
2712,00:09:02.54240 UTC
2713,00:09:02.54260 UTC
2714,00:09:02.54280 UTC
2715,00:09:03.54300 UTC
2716,00:09:03.54320 UTC
2717,00:09:03.54340 UTC
2718,00:09:03.54360 UTC
2719,00:09:03.54380 UTC
2720,00:09:04.54400 UTC
2721,00:09:04.54420 UTC
2722,00:09:04.54440 UTC
2723,00:09:04.54460 UTC
2724,00:09:04.54480 UTC
2725,00:09:05.54500 UTC
2726,00:09:05.54520 UTC
2727,00:09:05.54540 UTC
2728,00:09:05.54560 UTC
2729,00:09:05.54580 UTC
2730,00:09:06.54600 UTC
2731,00:09:06.54620 UTC
2732,00:09:06.54640 UTC
2733,00:09:06.54660 UTC
2734,00:09:06.54680 UTC
2735,00:09:07.54700 UTC
2736,00:09:07.54720 UTC
2737,00:09:07.54740 UTC
2738,00:09:07.54760 UTC
2739,00:09:07.54780 UTC
2740,00:09:08.54800 UTC
2741,00:09:08.54820 UTC
2742,00:09:08.54840 UTC
2743,00:09:08.54860 UTC
2744,00:09:08.54880 UTC
2745,00:09:09.54900 UTC
2746,00:09:09.54920 UTC
2747,00:09:09.54940 UTC
2748,00:09:09.54960 UTC
2749,00:09:09.54980 UTC
2750,00:09:10.55000 UTC
2751,00:09:10.55020 UTC
2752,00:09:10.55040 UTC
2753,00:09:10.55060 UTC
2754,00:09:10.55080 UTC
2755,00:09:11.55100 UTC
2756,00:09:11.55120 UTC
2757,00:09:11.55140 UTC
2758,00:09:11.55160 UTC
2759,00:09:11.55180 UTC
2760,00:09:12.55200 UTC
2761,00:09:12.55220 UTC
2762,00:09:12.55240 UTC
2763,00:09:12.55260 UTC
2764,00:09:12.55280 UTC
2765,00:09:13.55300 UTC
2766,00:09:13.55320 UTC
2767,00:09:13.55340 UTC
2768,00:09:13.55360 UTC
2769,00:09:13.55380 UTC
2770,00:09:14.55400 UTC
2771,00:09:14.55420 UTC
2772,00:09:14.55440 UTC
2773,00:09:14.55460 UTC
2774,00:09:14.55480 UTC
2775,00:09:15.55500 UTC
2776,00:09:15.55520 UTC
2777,00:09:15.55540 UTC
2778,00:09:15.55560 UTC
2779,00:09:15.55580 UTC
2780,00:09:16.55600 UTC
2781,00:09:16.55620 UTC
2782,00:09:16.55640 UTC
2783,00:09:16.55660 UTC
2784,00:09:16.55680 UTC
2785,00:09:17.55700 UTC
2786,00:09:17.55720 UTC
2787,00:09:17.55740 UTC
2788,00:09:17.55760 UTC
2789,00:09:17.55780 UTC
2790,00:09:18.55800 UTC
2791,00:09:18.55820 UTC
2792,00:09:18.55840 UTC
