# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:12:00 2026,,,,,,,,
37,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230226.380302_ir.tif,1714,202.925,134.885,212.496,144.788,0.52464,0,hotspot,0.52464
38,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230250.941593_ir.tif,1736,564.020,335.841,572.887,347.536,0.48332,0,hotspot,0.48332
39,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230334.433039_ir.tif,1775,424.480,160.813,434.858,170.474,0.64644,0,hotspot,0.64644
40,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230416.950560_ir.tif,1813,414.391,289.236,424.740,298.080,0.60703,0,hotspot,0.60703
41,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230428.204488_ir.tif,1823,17.763,50.667,28.245,61.443,0.51079,0,hotspot,0.51079
42,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230429.330296_ir.tif,1824,29.511,506.581,40.945,512.000,0.47275,0,hotspot,0.47275
43,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230439.435659_ir.tif,1833,384.036,204.333,393.626,214.160,0.62713,0,hotspot,0.62713
44,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230452.906565_ir.tif,1845,418.950,63.678,428.379,75.584,0.17998,0,hotspot,0.17998
45,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230454.026732_ir.tif,1846,423.805,461.727,433.251,474.511,0.42123,0,hotspot,0.42123
46,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230455.145996_ir.tif,1847,586.034,296.012,597.730,304.867,0.62648,0,hotspot,0.62648
47,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230556.837235_ir.tif,1901,580.200,43.983,593.625,53.507,0.59137,0,hotspot,0.59137
48,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230558.033703_ir.tif,1902,553.540,482.148,567.043,491.371,0.61458,0,hotspot,0.61458
49,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230601.623408_ir.tif,1905,96.400,0.000,106.535,6.904,0.67688,0,hotspot,0.67688
50,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230602.815733_ir.tif,1906,0.000,467.447,5.883,479.037,0.61719,0,hotspot,0.61719
51,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230659.191500_ir.tif,1955,99.957,308.152,109.312,321.820,0.66681,0,hotspot,0.66681
52,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230700.316406_ir.tif,1956,43.807,120.281,53.768,129.788,0.42981,0,hotspot,0.42981
53,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230752.938055_ir.tif,2003,26.450,192.890,36.875,203.402,0.56544,0,hotspot,0.56544
54,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230800.769484_ir.tif,2010,413.547,239.800,422.295,249.868,0.22390,0,hotspot,0.22390
55,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230810.844402_ir.tif,2019,78.326,289.117,89.139,299.137,0.67116,0,hotspot,0.67116
56,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230823.181242_ir.tif,2030,492.763,161.055,502.591,171.163,0.62728,0,hotspot,0.62728
57,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_230904.742234_ir.tif,2067,16.166,89.678,25.376,100.691,0.68930,0,hotspot,0.68930
58,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231037.761971_ir.tif,2149,13.478,196.370,24.508,218.253,0.28658,0,hotspot,0.28658
59,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231244.010690_ir.tif,2260,528.832,194.497,540.958,205.676,0.58926,0,hotspot,0.58926
60,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231244.010690_ir.tif,2260,546.078,262.551,557.400,274.266,0.57119,0,hotspot,0.57119
61,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231249.705323_ir.tif,2265,556.811,0.518,568.351,9.840,0.12588,0,hotspot,0.12588
62,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231250.845690_ir.tif,2266,533.195,377.988,544.200,386.693,0.21435,0,hotspot,0.21435
63,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_231338.842649_ir.tif,2308,562.229,347.599,573.663,357.690,0.52093,0,hotspot,0.52093
