# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:04:34 2026,,,,,,,,
34,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230212.997322_ir.tif,1702,136.633,360.039,146.349,370.232,0.53939,0,hotspot,0.53939
35,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230257.609395_ir.tif,1742,23.217,423.659,34.069,435.736,0.18423,0,hotspot,0.18423
36,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230322.152507_ir.tif,1764,157.181,113.402,166.783,122.173,0.54822,0,hotspot,0.54822
37,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230322.152507_ir.tif,1764,156.591,106.663,165.825,116.097,0.35410,0,hotspot,0.35410
38,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230323.269190_ir.tif,1765,164.753,502.288,173.640,511.563,0.62020,0,hotspot,0.62020
39,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230407.985865_ir.tif,1805,188.691,168.140,198.723,177.224,0.62484,0,hotspot,0.62484
40,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230439.435659_ir.tif,1833,315.684,226.204,324.913,236.254,0.51749,0,hotspot,0.51749
41,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230445.047157_ir.tif,1838,64.975,166.930,74.665,176.482,0.55257,0,hotspot,0.55257
42,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230445.047157_ir.tif,1838,66.069,159.024,75.591,168.565,0.46426,0,hotspot,0.46426
43,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230521.947000_ir.tif,1871,313.463,272.472,321.628,282.118,0.54158,0,hotspot,0.54158
44,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230521.947000_ir.tif,1871,313.043,282.249,320.995,290.592,0.46332,0,hotspot,0.46332
45,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230533.280311_ir.tif,1881,468.729,354.782,478.358,364.922,0.49017,0,hotspot,0.49017
46,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230534.435318_ir.tif,1882,525.296,148.082,535.244,157.818,0.57358,0,hotspot,0.57358
47,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230547.309299_ir.tif,1893,171.864,285.006,181.218,294.136,0.47918,0,hotspot,0.47918
48,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230624.998153_ir.tif,1925,407.748,174.922,417.275,184.310,0.57741,0,hotspot,0.57741
49,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230641.072308_ir.tif,1939,145.845,263.967,153.989,276.394,0.71501,0,hotspot,0.71501
50,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230650.145488_ir.tif,1947,252.399,257.640,261.732,268.337,0.59520,0,hotspot,0.59520
51,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230655.806741_ir.tif,1952,509.974,240.882,520.226,249.512,0.61907,0,hotspot,0.61907
52,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230711.571796_ir.tif,1966,288.075,44.256,296.905,55.255,0.65509,0,hotspot,0.65509
53,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230712.695544_ir.tif,1967,274.867,463.486,284.091,474.744,0.57017,0,hotspot,0.57017
54,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_230714.939039_ir.tif,1969,511.445,30.358,521.891,49.798,0.27304,0,hotspot,0.27304
55,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231102.760024_ir.tif,2171,71.189,253.925,79.966,263.400,0.63072,0,hotspot,0.63072
56,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231141.418807_ir.tif,2205,610.174,282.400,620.447,292.859,0.48891,0,hotspot,0.48891
57,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_231142.557590_ir.tif,2206,166.644,106.055,179.216,116.597,0.41131,0,hotspot,0.41131
